iter	MAE	RMSE
0	4695.986985	5668.198412
1	4613.344126	5573.915184
2	4534.283048	5483.787223
3	4455.13283	5394.590015
4	4382.917667	5309.874213
5	4306.769344	5224.164312
6	4231.866791	5139.023987
7	4158.218464	5055.834131
8	4089.42465	4976.505184
9	4020.261087	4897.473464
10	3951.466664	4819.786465
11	3884.305047	4744.330146
12	3818.267782	4670.032482
13	3755.589136	4597.2869
14	3695.941329	4527.177322
15	3634.563534	4458.352858
16	3575.466372	4388.809379
17	3514.467251	4319.553368
18	3455.714724	4253.559581
19	3399.26762	4188.477463
20	3345.600774	4125.400362
21	3291.51539	4062.455317
22	3239.061858	4001.442552
23	3185.754206	3941.418705
24	3133.458085	3882.919554
25	3084.25158	3826.97571
26	3034.18399	3768.512968
27	2984.854299	3712.708642
28	2937.454785	3658.765793
29	2890.988244	3603.96299
30	2846.354427	3551.356754
31	2802.299008	3500.4202
32	2757.757739	3448.93863
33	2714.984721	3398.769168
34	2672.203118	3350.080629
35	2630.036806	3301.380219
36	2588.329332	3253.671255
37	2548.919675	3207.429597
38	2508.565219	3161.933228
39	2469.83572	3118.703821
40	2433.402519	3077.010755
41	2398.004732	3036.017614
42	2361.24143	2994.598315
43	2326.236554	2955.180538
44	2293.371589	2917.271673
45	2260.01823	2879.057917
46	2226.63604	2840.642966
47	2194.598533	2803.646187
48	2164.125604	2767.37608
49	2132.518335	2731.392633
50	2102.881069	2697.435273
51	2073.666772	2663.338387
52	2046.123012	2630.822282
53	2017.933014	2598.477541
54	1989.865285	2566.141632
55	1963.299919	2534.610806
56	1937.06565	2503.652895
57	1910.501526	2473.045933
58	1885.465672	2443.444997
59	1859.840606	2414.096223
60	1834.406349	2384.300581
61	1810.530851	2356.361968
62	1787.556191	2329.758326
63	1763.686605	2301.74358
64	1742.277917	2275.981237
65	1720.260417	2249.347256
66	1698.171083	2223.845254
67	1676.927029	2199.117957
68	1655.822068	2174.123206
69	1635.058309	2149.887364
70	1616.542208	2128.010355
71	1597.020534	2105.509973
72	1578.823701	2084.246695
73	1560.667455	2062.492354
74	1543.190335	2041.426749
75	1524.522015	2019.318569
76	1507.059245	1998.180483
77	1489.810191	1978.243244
78	1473.146264	1958.697806
79	1458.385283	1940.713234
80	1442.294375	1921.735874
81	1426.633618	1902.780117
82	1410.980364	1884.497467
83	1396.0303	1866.91887
84	1381.000892	1849.342644
85	1365.398158	1830.293134
86	1351.190564	1813.372729
87	1337.517696	1797.171991
88	1323.28684	1779.722306
89	1310.173968	1763.835086
90	1297.575742	1748.356259
91	1286.504498	1734.127549
92	1275.837908	1720.67951
93	1264.869583	1706.601046
94	1253.064334	1692.365128
95	1241.501474	1678.577797
96	1231.304669	1665.22552
97	1221.145054	1652.814541
98	1211.562776	1640.5198
99	1201.892054	1628.451069
100	1190.920782	1614.873222
101	1180.798499	1602.324649
102	1171.453272	1590.913106
103	1162.406874	1579.489801
104	1153.422263	1568.23463
105	1145.091656	1557.932981
106	1135.778847	1546.163723
107	1126.991925	1535.163728
108	1117.79241	1523.763963
109	1108.458062	1512.365635
110	1099.344102	1501.062549
111	1092.001115	1491.992747
112	1084.191179	1482.142393
113	1076.13315	1472.110232
114	1068.823547	1463.294524
115	1061.160582	1453.284438
116	1053.333676	1443.628249
117	1046.518532	1434.724909
118	1039.339285	1425.272272
119	1032.917789	1416.841826
120	1026.712759	1408.862305
121	1020.02201	1400.662304
122	1012.927859	1391.973603
123	1006.60497	1383.948664
124	1000.102376	1375.631557
125	994.1913263	1367.967603
126	988.7849062	1360.963077
127	982.8948278	1353.676424
128	977.4761165	1346.848371
129	972.2198163	1339.970446
130	966.6937439	1333.130225
131	961.2905213	1325.972333
132	956.1643848	1319.145545
133	951.1848208	1312.829777
134	946.2478838	1306.419138
135	941.7806172	1300.556692
136	936.77657	1294.417912
137	931.9300905	1288.251723
138	927.4968376	1282.545388
139	923.6967743	1277.355721
140	919.3997399	1271.728156
141	915.4057228	1266.593231
142	911.4121338	1261.260873
143	907.3923276	1255.729812
144	903.5317492	1250.757875
145	899.4243877	1245.556561
146	895.5910021	1240.401946
147	891.8923385	1235.740088
148	887.8792507	1230.679691
149	884.2507902	1225.94761
150	880.9109553	1221.334198
151	877.3645424	1216.568638
152	874.2947206	1212.437591
153	871.1207559	1207.967671
154	867.7537836	1203.392839
155	864.714852	1199.297919
156	861.5733246	1195.033806
157	858.6841431	1191.180847
158	855.6060954	1186.760478
159	852.6358265	1183.088242
160	849.6104665	1179.312666
161	847.0514739	1175.92508
162	844.1402985	1172.355475
163	841.0056426	1168.208228
164	838.5447713	1164.806276
165	836.0075153	1161.227747
166	833.1539433	1157.320198
167	830.2367032	1153.787994
168	827.5986201	1150.129975
169	824.6380859	1146.655932
170	821.7013144	1143.005974
171	819.2282037	1139.671727
172	816.3837969	1136.205151
173	813.8385485	1132.783486
174	811.3308332	1129.315082
175	808.7517515	1126.145383
176	806.1128201	1122.96841
177	804.2782737	1120.082834
178	802.4013839	1117.405413
179	800.2686461	1114.619293
180	798.1156247	1111.704427
181	796.2775157	1109.157462
182	794.6246782	1106.648606
183	792.5422624	1103.848798
184	790.6830113	1101.279012
185	788.5853757	1098.62188
186	786.7022348	1096.218239
187	784.6620088	1093.748872
188	782.5733457	1090.926008
189	780.7206118	1088.624136
190	778.6400206	1085.784936
191	777.0135546	1083.412628
192	775.3504539	1081.21431
193	773.2966846	1078.526813
194	771.5128226	1075.886596
195	769.932683	1073.608768
196	768.1511475	1071.338655
197	766.1650321	1068.851903
198	764.2285988	1066.471802
199	762.5276121	1064.357379
200	760.8077106	1061.936053
201	759.0739944	1059.688389
202	757.3958378	1057.454609
203	755.9708661	1055.583531
204	754.3572718	1053.257947
205	753.0093781	1051.281006
206	751.4328582	1049.059406
207	750.0809337	1047.219913
208	748.4609075	1044.822489
209	747.036732	1042.809893
210	745.2935065	1040.333489
211	744.0336884	1038.639006
212	742.7956417	1036.748847
213	741.3757054	1035.033705
214	740.3123744	1033.272223
215	739.2909908	1031.553968
216	737.8293327	1029.597287
217	736.6687469	1027.995182
218	735.5046722	1026.51735
219	733.8629893	1024.417091
220	732.5391355	1022.567999
221	731.3976726	1020.951472
222	730.2497546	1019.303214
223	729.1517135	1017.68814
224	727.8429682	1015.781858
225	726.3562976	1014.069564
226	725.3694991	1012.361808
227	724.2677958	1010.843034
228	723.4698674	1009.271648
229	722.4264354	1007.707056
230	721.0613589	1006.13951
231	719.7925184	1004.518768
232	718.7763758	1003.190467
233	717.5903099	1001.848695
234	716.6689725	1000.417864
235	715.7672173	999.0566283
236	714.8714488	997.8389044
237	713.9784084	996.4650755
238	712.9560444	995.2208754
239	711.7450649	993.6420674
240	710.5597738	992.2209833
241	709.6553392	991.0459529
242	708.8056179	990.0068829
243	707.7623601	988.4874077
244	706.7653542	986.8512464
245	705.5185179	985.2292369
246	704.3824577	983.899053
247	703.2128468	982.4565493
248	702.3155242	981.1763004
249	701.4694104	979.9472491
250	700.7358876	978.9620501
251	699.6680877	977.63958
252	698.753258	976.5047455
253	697.7188534	974.8639214
254	696.6346328	973.3909909
255	695.8180995	972.3757997
256	694.791691	970.9337651
257	693.9488928	969.6604295
258	692.9411952	968.4261449
259	692.0603696	967.2073747
260	691.3382888	966.129671
261	690.3815591	964.7306255
262	689.4384675	963.4017272
263	688.5409859	962.2959681
264	687.8710063	961.3116209
265	686.876997	960.2405812
266	685.8341761	958.7632518
267	684.8987608	957.200151
268	684.0806227	955.7887559
269	683.3671755	954.8461597
270	682.3784683	953.6999596
271	681.4444099	952.4902254
