iter	Passed	Remaining
0	10	20573
1	19	19451
2	28	18702
3	36	18164
4	45	18067
5	53	17632
6	60	17188
7	67	16838
8	74	16404
9	80	16109
10	87	15894
11	94	15652
12	101	15450
13	107	15262
14	113	15074
15	120	14886
16	126	14707
17	132	14550
18	138	14438
19	144	14339
20	151	14238
21	156	14110
22	162	13996
23	168	13900
24	174	13807
25	180	13706
26	188	13765
27	194	13689
28	200	13618
29	206	13558
30	212	13492
31	218	13432
32	224	13356
33	229	13295
34	236	13259
35	242	13215
36	248	13178
37	254	13124
38	259	13067
39	265	13023
40	290	13890
41	298	13909
42	306	13936
43	313	13948
44	321	13953
45	328	13941
46	335	13947
47	342	13936
48	349	13920
49	356	13893
50	362	13855
51	368	13810
52	374	13768
53	386	13928
54	393	13910
55	400	13900
56	407	13881
57	413	13860
58	420	13839
59	427	13819
60	434	13797
61	440	13778
62	447	13751
63	453	13713
64	459	13681
65	465	13644
66	477	13777
67	487	13836
68	494	13825
69	501	13827
70	508	13813
71	515	13792
72	521	13767
73	527	13737
74	534	13718
75	541	13699
76	547	13666
77	553	13638
78	559	13607
79	565	13582
80	571	13549
81	585	13684
82	591	13668
83	598	13655
84	605	13632
85	611	13608
86	617	13583
87	624	13559
88	630	13533
89	636	13504
90	642	13476
91	648	13447
92	654	13413
93	659	13382
94	666	13355
95	672	13342
96	680	13349
97	686	13320
98	692	13293
99	698	13267
100	704	13244
101	710	13213
102	716	13189
103	721	13156
104	729	13157
105	736	13165
106	743	13152
107	749	13127
108	755	13101
109	760	13071
110	766	13042
111	771	13012
112	779	13018
113	785	12993
114	791	12971
115	797	12949
116	803	12923
117	808	12901
118	814	12874
119	820	12846
120	826	12836
121	834	12841
122	840	12822
123	846	12799
124	851	12775
125	857	12752
126	862	12725
127	868	12703
128	876	12719
129	882	12697
130	888	12682
131	895	12667
132	901	12648
133	906	12627
134	912	12606
135	918	12584
136	924	12566
137	929	12544
138	937	12550
139	943	12528
140	948	12506
141	954	12484
142	959	12466
143	965	12445
144	971	12425
145	978	12429
146	984	12409
147	990	12389
148	995	12372
149	1001	12351
150	1007	12331
151	1012	12310
152	1017	12289
153	1025	12292
154	1033	12297
155	1039	12282
156	1044	12265
157	1050	12244
158	1055	12225
159	1061	12206
160	1067	12188
161	1074	12188
162	1080	12172
163	1085	12157
164	1091	12138
165	1097	12121
166	1102	12105
167	1108	12085
168	1113	12067
169	1120	12058
170	1127	12060
171	1133	12049
172	1139	12033
173	1145	12015
174	1150	12000
175	1156	11983
176	1161	11967
177	1167	11948
178	1174	11945
179	1179	11930
180	1185	11914
181	1191	11898
182	1196	11878
183	1201	11860
184	1207	11844
185	1212	11828
186	1218	11815
187	1224	11801
188	1230	11790
189	1235	11773
190	1241	11758
191	1247	11742
192	1252	11727
193	1258	11712
194	1263	11696
195	1271	11703
196	1276	11687
197	1282	11673
198	1288	11662
199	1294	11648
200	1299	11634
201	1305	11620
202	1311	11606
203	1316	11590
204	1322	11577
205	1327	11561
206	1333	11548
207	1338	11533
208	1344	11521
209	1350	11508
210	1356	11497
211	1363	11499
212	1368	11485
213	1374	11472
214	1380	11458
215	1385	11443
216	1390	11428
217	1396	11413
218	1401	11399
219	1407	11387
220	1413	11380
221	1420	11378
222	1428	11380
223	1433	11368
224	1439	11356
225	1445	11345
226	1451	11333
227	1456	11321
228	1461	11306
229	1469	11308
230	1475	11296
231	1480	11283
232	1486	11271
233	1491	11259
234	1497	11245
235	1502	11232
236	1508	11219
237	1513	11208
238	1520	11200
239	1525	11190
240	1531	11179
241	1537	11168
242	1542	11154
243	1548	11143
244	1554	11132
245	1559	11122
246	1565	11112
247	1571	11103
248	1577	11092
249	1582	11080
250	1588	11067
251	1594	11060
252	1599	11048
253	1605	11036
254	1611	11026
255	1616	11013
256	1622	11003
257	1628	10992
258	1633	10980
259	1639	10970
260	1644	10959
261	1650	10949
262	1656	10939
263	1662	10931
264	1667	10920
265	1673	10909
266	1679	10898
267	1684	10888
268	1690	10875
269	1695	10861
270	1700	10848
271	1705	10836
272	1710	10820
273	1715	10808
274	1721	10796
275	1726	10784
276	1731	10772
277	1737	10760
278	1742	10748
279	1747	10735
280	1754	10731
281	1759	10720
282	1765	10709
283	1770	10699
284	1776	10687
285	1781	10675
286	1786	10664
287	1792	10654
288	1798	10645
289	1803	10633
290	1808	10623
291	1814	10614
292	1820	10603
293	1825	10593
294	1831	10582
295	1836	10571
296	1841	10560
297	1847	10550
298	1852	10540
299	1858	10532
300	1864	10523
301	1869	10514
302	1875	10504
303	1881	10495
304	1886	10485
305	1892	10475
306	1897	10465
307	1903	10457
308	1909	10449
309	1914	10438
310	1920	10428
311	1925	10417
312	1930	10406
313	1936	10397
314	1942	10389
315	1956	10428
316	1962	10421
317	1969	10419
318	1976	10415
319	1983	10412
320	1989	10407
321	1996	10402
322	2002	10395
323	2008	10388
324	2014	10381
325	2020	10372
326	2025	10364
327	2031	10356
328	2037	10348
329	2043	10340
330	2055	10363
331	2061	10358
332	2067	10352
333	2074	10347
334	2080	10340
335	2086	10333
336	2092	10324
337	2098	10316
338	2103	10308
339	2109	10300
340	2115	10290
341	2120	10281
342	2126	10271
343	2131	10262
344	2137	10252
345	2142	10243
346	2148	10234
347	2155	10232
348	2160	10222
349	2166	10213
350	2172	10204
351	2177	10194
352	2182	10184
353	2188	10176
354	2194	10167
355	2199	10156
356	2204	10146
357	2210	10137
358	2216	10130
359	2221	10122
360	2227	10114
361	2233	10105
362	2238	10096
363	2244	10087
364	2250	10078
365	2255	10071
366	2261	10061
367	2266	10053
368	2272	10044
369	2277	10034
370	2283	10025
371	2288	10016
372	2294	10008
373	2299	9999
374	2305	9989
375	2311	9981
376	2316	9972
377	2321	9963
378	2327	9954
379	2333	9946
380	2338	9938
381	2344	9929
382	2351	9929
383	2357	9921
384	2363	9914
385	2369	9908
386	2375	9899
387	2380	9891
388	2386	9883
389	2392	9875
390	2398	9868
391	2403	9859
392	2409	9850
393	2414	9842
394	2420	9834
395	2426	9827
396	2431	9819
397	2437	9811
398	2443	9803
399	2451	9804
400	2456	9795
401	2461	9786
402	2467	9777
403	2472	9769
404	2478	9761
405	2484	9752
406	2489	9744
407	2495	9735
408	2500	9728
409	2506	9720
410	2512	9712
411	2517	9704
412	2523	9697
413	2529	9688
414	2534	9681
415	2547	9700
416	2553	9695
417	2560	9691
418	2566	9685
419	2572	9678
420	2579	9673
421	2585	9666
422	2591	9661
423	2597	9654
424	2603	9646
425	2608	9639
426	2614	9632
427	2620	9625
428	2626	9618
429	2632	9611
430	2637	9603
431	2645	9600
432	2650	9592
433	2656	9585
434	2662	9577
435	2667	9569
