datetime,temperature_2m,relative_humidity_2m,precipitation,rain,cloud_cover,wind_speed_10m,surface_pressure,apparent_temperature,city,region,pop_weight
2024-10-25 00:00:00+03:00,8.54,93.43079,0.0,0.0,33.0,7.0407386,972.24084,6.876295,Kocaeli,Marmara,0.0249
2024-10-25 01:00:00+03:00,8.74,90.61537,0.0,0.0,100.0,6.696387,972.0911,7.0653687,Kocaeli,Marmara,0.0249
2024-10-25 02:00:00+03:00,9.190001,88.811676,0.0,0.0,100.0,7.0843205,971.9899,7.495411,Kocaeli,Marmara,0.0249
2024-10-25 03:00:00+03:00,9.49,88.53471,0.0,0.0,100.0,7.229191,971.7645,7.836013,Kocaeli,Marmara,0.0249
2024-10-25 04:00:00+03:00,9.74,94.124695,0.0,0.0,52.0,7.44121,971.6243,8.351232,Kocaeli,Marmara,0.0249
2024-10-25 05:00:00+03:00,9.59,95.076515,0.0,0.0,59.0,7.674842,971.5004,8.167154,Kocaeli,Marmara,0.0249
2024-10-25 06:00:00+03:00,9.49,95.717064,0.0,0.0,100.0,7.562142,971.4811,8.083585,Kocaeli,Marmara,0.0249
2024-10-25 07:00:00+03:00,9.690001,96.69594,0.0,0.0,100.0,7.327127,971.5199,8.412105,Kocaeli,Marmara,0.0249
2024-10-25 08:00:00+03:00,10.14,97.68505,0.0,0.0,100.0,9.178235,971.51245,8.75834,Kocaeli,Marmara,0.0249
2024-10-25 09:00:00+03:00,10.64,96.72026,0.0,0.0,100.0,12.601285,971.79816,8.858842,Kocaeli,Marmara,0.0249
2024-10-25 10:00:00+03:00,12.09,84.40812,0.0,0.0,81.0,13.327294,971.69763,10.03326,Kocaeli,Marmara,0.0249
2024-10-25 11:00:00+03:00,13.89,71.10456,0.1,0.1,96.0,15.779543,971.5657,11.258432,Kocaeli,Marmara,0.0249
2024-10-25 12:00:00+03:00,14.74,66.17265,0.3,0.3,100.0,15.430736,971.4413,12.093447,Kocaeli,Marmara,0.0249
2024-10-25 13:00:00+03:00,15.09,64.26163,0.2,0.2,89.0,14.810401,971.1284,12.507835,Kocaeli,Marmara,0.0249
2024-10-25 14:00:00+03:00,15.09,64.26163,0.2,0.2,78.0,15.735336,970.8447,12.372948,Kocaeli,Marmara,0.0249
2024-10-25 15:00:00+03:00,14.34,70.95088,0.1,0.1,43.0,18.839045,970.60974,11.369402,Kocaeli,Marmara,0.0249
2024-10-25 16:00:00+03:00,13.74,70.83588,0.0,0.0,84.0,18.852798,970.68634,10.607613,Kocaeli,Marmara,0.0249
2024-10-25 17:00:00+03:00,12.84,75.11651,0.0,0.0,74.0,20.234594,970.51636,9.5062065,Kocaeli,Marmara,0.0249
2024-10-25 18:00:00+03:00,11.54,81.54384,0.0,0.0,40.0,18.947083,970.4583,8.380993,Kocaeli,Marmara,0.0249
2024-10-25 19:00:00+03:00,10.440001,88.31651,0.0,0.0,9.0,16.848999,970.7198,7.613158,Kocaeli,Marmara,0.0249
2024-10-25 20:00:00+03:00,9.79,89.467445,0.0,0.0,3.0,13.833091,970.78345,7.2864103,Kocaeli,Marmara,0.0249
2024-10-25 21:00:00+03:00,9.59,87.94223,0.0,0.0,7.0,13.864674,970.83905,6.9683437,Kocaeli,Marmara,0.0249
2024-10-25 22:00:00+03:00,9.39,87.326004,0.0,0.0,9.0,12.904882,970.98926,6.8343573,Kocaeli,Marmara,0.0249
2024-10-25 23:00:00+03:00,9.49,85.85648,0.0,0.0,6.0,12.413477,970.8197,6.969549,Kocaeli,Marmara,0.0249
2024-10-26 00:00:00+03:00,9.09,87.59701,0.0,0.0,6.0,10.948973,970.5534,6.7589684,Kocaeli,Marmara,0.0249
2024-10-26 01:00:00+03:00,9.14,86.70676,0.0,0.0,0.0,11.113451,970.5629,6.760997,Kocaeli,Marmara,0.0249
