,date,basinName,damName,energyGeneration,damId
0,2025-11-18 00:00:00+03:00,Doğu Akdeniz,ERMENEK,492.88,54
1,2025-11-18 00:00:00+03:00,Doğu Akdeniz,BALKUSAN,1.5,55
2,2025-11-18 00:00:00+03:00,Doğu Akdeniz,ALAKÖPRÜ,3.36,56
3,2025-11-18 00:00:00+03:00,Seyhan,ÇATALAN,4.5,57
4,2025-11-18 00:00:00+03:00,Seyhan,BAHÇELİK,3.92,59
5,2025-11-18 00:00:00+03:00,Seyhan,YEDİGÖZE,1.72,60
6,2025-11-18 00:00:00+03:00,Seyhan,FEKE-2,2.16,61
7,2025-11-18 00:00:00+03:00,Seyhan,MENGE HES,0.93,62
8,2025-11-18 00:00:00+03:00,Seyhan,KAVŞAKBENDİ HES,1.21,64
9,2025-11-18 00:00:00+03:00,Seyhan,GÜMÜŞÖREN,1.94,65
10,2025-11-18 00:00:00+03:00,Seyhan,GÖKTAŞ-1,1.96,66
11,2025-11-18 00:00:00+03:00,Ceyhan,ASLANTAŞ,48.56,67
12,2025-11-18 00:00:00+03:00,Ceyhan,MENZELET,63.21,68
13,2025-11-18 00:00:00+03:00,Ceyhan,SIR,38.45,69
14,2025-11-18 00:00:00+03:00,Ceyhan,KOZAN,0.79,70
15,2025-11-18 00:00:00+03:00,Ceyhan,KARTALKAYA,1.53,72
16,2025-11-18 00:00:00+03:00,Ceyhan,BERKE ,125.35,73
17,2025-11-18 00:00:00+03:00,Ceyhan,KILAVUZLU,0.53,74
18,2025-11-18 00:00:00+03:00,Ceyhan,KANDİL HES,33.43,75
19,2025-11-18 00:00:00+03:00,Ceyhan,SARIGÜZEL HES,1.3,76
20,2025-11-18 00:00:00+03:00,Doğu Karadeniz,KÜRTÜN,6.3,77
21,2025-11-18 00:00:00+03:00,Doğu Karadeniz,TORUL,0.65,78
22,2025-11-18 00:00:00+03:00,Doğu Karadeniz,TOPÇAM-ORDU,20.92,80
23,2025-11-18 00:00:00+03:00,Van Gölü,SARIMEHMET,1.64,83
24,2025-11-18 00:00:00+03:00,Van Gölü,ZERNEK,3.43,84
25,2025-11-18 00:00:00+03:00,Doğu Akdeniz,YALNIZARDIÇ,0.77,101
26,2025-11-18 00:00:00+03:00,Yeşilırmak,ÇEKEREK,12.35,301
27,2025-11-18 00:00:00+03:00,Sakarya,KARGI BARAJI VE HES,1.18,401
28,2025-11-18 00:00:00+03:00,Asi,BÜYÜK KARAÇAY,0.01,601
