,date,hour,price,priceUsd,priceEur
0,2024-10-25 00:00:00+03:00,00:00,2478.77,72.48,67.23
1,2024-10-25 01:00:00+03:00,01:00,2369.01,69.27,64.25
2,2024-10-25 02:00:00+03:00,02:00,2056.0,60.12,55.76
3,2024-10-25 03:00:00+03:00,03:00,1925.1,56.29,52.21
4,2024-10-25 04:00:00+03:00,04:00,1649.99,48.24,44.75
5,2024-10-25 05:00:00+03:00,05:00,2244.99,65.64,60.89
6,2024-10-25 06:00:00+03:00,06:00,2478.78,72.48,67.23
7,2024-10-25 07:00:00+03:00,07:00,2644.38,77.32,71.72
8,2024-10-25 08:00:00+03:00,08:00,2899.99,84.79,78.65
9,2024-10-25 09:00:00+03:00,09:00,2614.46,76.44,70.91
10,2024-10-25 10:00:00+03:00,10:00,1925.11,56.29,52.21
11,2024-10-25 11:00:00+03:00,11:00,1925.11,56.29,52.21
12,2024-10-25 12:00:00+03:00,12:00,863.63,25.25,23.42
13,2024-10-25 13:00:00+03:00,13:00,1424.99,41.67,38.65
14,2024-10-25 14:00:00+03:00,14:00,2500.01,73.1,67.8
15,2024-10-25 15:00:00+03:00,15:00,2442.0,71.4,66.23
16,2024-10-25 16:00:00+03:00,16:00,2440.0,71.34,66.17
17,2024-10-25 17:00:00+03:00,17:00,2981.64,87.18,80.86
18,2024-10-25 18:00:00+03:00,18:00,3000.0,87.72,81.36
19,2024-10-25 19:00:00+03:00,19:00,2950.0,86.25,80.01
20,2024-10-25 20:00:00+03:00,20:00,2956.13,86.43,80.17
21,2024-10-25 21:00:00+03:00,21:00,2799.99,81.87,75.94
22,2024-10-25 22:00:00+03:00,22:00,2400.01,70.17,65.09
23,2024-10-25 23:00:00+03:00,23:00,2111.99,61.75,57.28
24,2024-10-26 00:00:00+03:00,00:00,2599.99,76.04,70.44
25,2024-10-26 01:00:00+03:00,01:00,2599.98,76.04,70.44
26,2024-10-26 02:00:00+03:00,02:00,2400.0,70.2,65.02
27,2024-10-26 03:00:00+03:00,03:00,2266.0,66.28,61.39
28,2024-10-26 04:00:00+03:00,04:00,2265.99,66.28,61.39
29,2024-10-26 05:00:00+03:00,05:00,2425.0,70.93,65.7
30,2024-10-26 06:00:00+03:00,06:00,2524.99,73.85,68.41
31,2024-10-26 07:00:00+03:00,07:00,1999.99,58.5,54.19
32,2024-10-26 08:00:00+03:00,08:00,2794.01,81.72,75.7
33,2024-10-26 09:00:00+03:00,09:00,2590.22,75.76,70.18
34,2024-10-26 10:00:00+03:00,10:00,2474.0,72.36,67.03
35,2024-10-26 11:00:00+03:00,11:00,1649.99,48.26,44.7
36,2024-10-26 12:00:00+03:00,12:00,614.03,17.96,16.64
37,2024-10-26 13:00:00+03:00,13:00,1408.09,41.18,38.15
38,2024-10-26 14:00:00+03:00,14:00,1650.0,48.26,44.7
39,2024-10-26 15:00:00+03:00,15:00,2001.2,58.53,54.22
40,2024-10-26 16:00:00+03:00,16:00,2750.01,80.43,74.51
41,2024-10-26 17:00:00+03:00,17:00,2898.99,84.79,78.54
42,2024-10-26 18:00:00+03:00,18:00,3000.0,87.74,81.28
43,2024-10-26 19:00:00+03:00,19:00,3000.0,87.74,81.28
44,2024-10-26 20:00:00+03:00,20:00,2970.0,86.87,80.47
45,2024-10-26 21:00:00+03:00,21:00,2823.0,82.57,76.48
46,2024-10-26 22:00:00+03:00,22:00,2497.39,73.04,67.66
47,2024-10-26 23:00:00+03:00,23:00,2374.01,69.44,64.32
48,2024-10-27 00:00:00+03:00,00:00,2310.11,67.57,62.44
49,2024-10-27 01:00:00+03:00,01:00,2425.0,70.93,65.54
50,2024-10-27 02:00:00+03:00,02:00,2506.79,73.32,67.75
51,2024-10-27 03:00:00+03:00,03:00,2495.98,73.01,67.46
52,2024-10-27 04:00:00+03:00,04:00,2197.0,64.26,59.38
53,2024-10-27 05:00:00+03:00,05:00,1999.99,58.5,54.05
54,2024-10-27 06:00:00+03:00,06:00,2799.01,81.87,75.65
55,2024-10-27 07:00:00+03:00,07:00,2674.99,78.24,72.3
56,2024-10-27 08:00:00+03:00,08:00,1999.98,58.5,54.05
57,2024-10-27 09:00:00+03:00,09:00,1200.0,35.1,32.43
58,2024-10-27 10:00:00+03:00,10:00,522.99,15.3,14.14
59,2024-10-27 11:00:00+03:00,11:00,556.0,16.26,15.03
60,2024-10-27 12:00:00+03:00,12:00,437.0,12.78,11.81
61,2024-10-27 13:00:00+03:00,13:00,1000.01,29.25,27.03
62,2024-10-27 14:00:00+03:00,14:00,1649.98,48.26,44.59
63,2024-10-27 15:00:00+03:00,15:00,1999.98,58.5,54.05
64,2024-10-27 16:00:00+03:00,16:00,2940.0,85.99,79.46
65,2024-10-27 17:00:00+03:00,17:00,3000.0,87.75,81.08
66,2024-10-27 18:00:00+03:00,18:00,3000.0,87.75,81.08
67,2024-10-27 19:00:00+03:00,19:00,3000.0,87.75,81.08
68,2024-10-27 20:00:00+03:00,20:00,3000.0,87.75,81.08
69,2024-10-27 21:00:00+03:00,21:00,3000.0,87.75,81.08
70,2024-10-27 22:00:00+03:00,22:00,3000.0,87.75,81.08
71,2024-10-27 23:00:00+03:00,23:00,2898.99,84.79,78.35
72,2024-10-28 00:00:00+03:00,00:00,2890.01,84.53,78.11
73,2024-10-28 01:00:00+03:00,01:00,2677.78,78.32,72.37
74,2024-10-28 02:00:00+03:00,02:00,2677.77,78.32,72.37
75,2024-10-28 03:00:00+03:00,03:00,2319.39,67.84,62.69
76,2024-10-28 04:00:00+03:00,04:00,2310.1,67.57,62.44
77,2024-10-28 05:00:00+03:00,05:00,2677.77,78.32,72.37
78,2024-10-28 06:00:00+03:00,06:00,2899.99,84.82,78.38
79,2024-10-28 07:00:00+03:00,07:00,3000.0,87.75,81.08
80,2024-10-28 08:00:00+03:00,08:00,3000.0,87.75,81.08
81,2024-10-28 09:00:00+03:00,09:00,2899.99,84.82,78.38
82,2024-10-28 10:00:00+03:00,10:00,2389.98,69.9,64.6
83,2024-10-28 11:00:00+03:00,11:00,2500.0,73.12,67.57
84,2024-10-28 12:00:00+03:00,12:00,1372.19,40.14,37.09
85,2024-10-28 13:00:00+03:00,13:00,1649.98,48.26,44.59
86,2024-10-28 14:00:00+03:00,14:00,1999.99,58.5,54.05
87,2024-10-28 15:00:00+03:00,15:00,2790.0,81.61,75.41
88,2024-10-28 16:00:00+03:00,16:00,2840.0,83.07,76.76
89,2024-10-28 17:00:00+03:00,17:00,3000.0,87.75,81.08
90,2024-10-28 18:00:00+03:00,18:00,3000.0,87.75,81.08
91,2024-10-28 19:00:00+03:00,19:00,3000.0,87.75,81.08
92,2024-10-28 20:00:00+03:00,20:00,3000.0,87.75,81.08
93,2024-10-28 21:00:00+03:00,21:00,2799.99,81.9,75.68
94,2024-10-28 22:00:00+03:00,22:00,2626.26,76.82,70.98
95,2024-10-28 23:00:00+03:00,23:00,2394.0,70.02,64.7
96,2024-10-29 00:00:00+03:00,00:00,2799.99,81.9,75.68
97,2024-10-29 01:00:00+03:00,01:00,2722.25,79.62,73.58
98,2024-10-29 02:00:00+03:00,02:00,2519.51,73.69,68.1
99,2024-10-29 03:00:00+03:00,03:00,2248.0,65.75,60.76
100,2024-10-29 04:00:00+03:00,04:00,1999.98,58.5,54.05
101,2024-10-29 05:00:00+03:00,05:00,1999.99,58.5,54.05
102,2024-10-29 06:00:00+03:00,06:00,2500.01,73.12,67.57
103,2024-10-29 07:00:00+03:00,07:00,2056.0,60.14,55.57
104,2024-10-29 08:00:00+03:00,08:00,2153.64,62.99,58.21
105,2024-10-29 09:00:00+03:00,09:00,1649.98,48.26,44.59
