,kontratTuru,kontratAdi,clearingQuantityAsk,clearingQuantityBid
0,Blok,PB20010100-01,613.8,613.8
1,Saatlik,PH20010100,367.4,367.4
2,Blok,PB20010101-01,604.5,604.5
3,Saatlik,PH20010101,312.3,312.3
4,Blok,PB20010102-01,583.8,583.8
5,Saatlik,PH20010102,412.8,412.8
6,Blok,PB20010103-01,558.4,558.4
7,Saatlik,PH20010103,610.2,610.2
8,Blok,PB20010104-01,510.1,510.1
9,Saatlik,PH20010104,253.9,253.9
10,Blok,PB20010105-01,515.0,515.0
11,Saatlik,PH20010105,417.7,417.7
12,Blok,PB20010106-01,462.0,462.0
13,Saatlik,PH20010106,336.9,336.9
14,Blok,PB20010107-01,129.1,129.1
15,Blok,PB20010107-04,10.0,10.0
16,Saatlik,PH20010107,539.5,539.5
18,Blok,PB20010108-01,165.1,165.1
19,Saatlik,PH20010108,444.6,444.6
21,Blok,PB20010109-01,214.2,214.2
22,Saatlik,PH20010109,494.1,494.1
24,Blok,PB20010110-01,241.9,241.9
25,Saatlik,PH20010110,829.3,829.3
26,Blok,PB20010111-01,280.2,280.2
27,Blok,PB20010111-09,5.0,5.0
28,Saatlik,PH20010111,639.8,639.8
30,Blok,PB20010112-01,223.0,223.0
31,Saatlik,PH20010112,739.6,739.6
33,Blok,PB20010113-01,417.9,417.9
34,Blok,PB20010113-03,0.5,0.5
35,Saatlik,PH20010113,699.7,699.7
38,Blok,PB20010114-01,215.0,215.0
39,Blok,PB20010114-02,4.0,4.0
40,Blok,PB20010114-04,0.5,0.5
41,Saatlik,PH20010114,646.8,646.8
46,Blok,PB20010115-01,262.4,262.4
47,Saatlik,PH20010115,755.5,755.5
50,Blok,PB20010116-01,318.9,318.9
51,Blok,PB20010116-08,2.0,2.0
52,Saatlik,PH20010116,976.0,976.0
56,Blok,PB20010117-01,290.9,290.9
57,Saatlik,PH20010117,1016.9,1016.9
60,Blok,PB20010118-01,244.2,244.2
61,Blok,PB20010118-04,1.0,1.0
62,Saatlik,PH20010118,1064.0,1064.0
