Type,Plant / Project name,Capacity (MW),Status,Start year,Latitude,Longitude,Location accuracy,City,GEM.Wiki URL
solar,4B Eregli Biyokutle Enerji Santrali solar project,1.6,operating,,37.8727,32.4924,approximate,Konya,https://www.gem.wiki/4B_Eregli_Biyokutle_Enerji_Santrali_solar_project
solar,5Er Biyokutle Santrali solar project,1.1,operating,,37.8727,32.4924,approximate,Konya,https://www.gem.wiki/5Er_Biyokutle_Santrali_solar_project
solar,Acidort solar project,5,operating,2015,37.958,32.772,approximate,Karatay,https://www.gem.wiki/Acidort_solar_project
solar,Acipayam Akfen solar project,6.6,operating,2016,37.4123,29.4366,approximate,,https://www.gem.wiki/Acipayam_Akfen_solar_project
solar,Acipinar solar project,8,operating,2015,37.586,34.142,approximate,Acıpınar,https://www.gem.wiki/Acipinar_solar_project
solar,Afta solar farm,13.7,operating,2019,37.7331,33.5655,exact,Konya,https://www.gem.wiki/Afta_solar_farm
solar,Afyon Biyogaz Santrali solar project,4.1,operating,,38.6853,30.6427,approximate,Afyonkarahisar,https://www.gem.wiki/Afyon_Biyogaz_Santrali_solar_project
solar,Afyon-1 Biyogaz Santrali solar project,8.7,operating,,38.6853,30.6427,approximate,Afyonkarahisar,https://www.gem.wiki/Afyon-1_Biyogaz_Santrali_solar_project
solar,Akhisar EP solar project,9.2,operating,2018,38.9739,28.1005,approximate,,https://www.gem.wiki/Akhisar_EP_solar_project
solar,Akmezra A solar project,5,operating,2017,38.7052,39.7991,approximate,Akmezra,https://www.gem.wiki/Akmezra_A_solar_project
solar,Akoda Hybrid solar project,3.2,operating,,37.8727,32.4924,approximate,Konya,https://www.gem.wiki/Akoda_Hybrid_solar_project
solar,Aksaray Cop Gaz Elektrik Uretim Tesisi solar project,1.5,operating,,38.4326,33.8977,approximate,Aksaray,https://www.gem.wiki/Aksaray_Cop_Gaz_Elektrik_Uretim_Tesisi_solar_project
solar,Aksaray solar farm,3.5,operating,2017,38.3629,34.014,approximate,,https://www.gem.wiki/Aksaray_solar_farm
solar,Aksungur solar project,7,operating,2018,40.5297,34.808,approximate,,https://www.gem.wiki/Aksungur_solar_project
solar,Alages Adilcevaz solar farm,24,operating,2020,38.9164,42.6117,exact,,https://www.gem.wiki/Alages_Adilcevaz_solar_farm
solar,Alibey solar farm,8,operating,2020,37.4602,32.6838,exact,Konya,https://www.gem.wiki/Alibey_solar_farm
solar,Alibeyhöyüğü solar farm,18,operating,2019,37.4661,32.5991,exact,Konya,https://www.gem.wiki/Alibeyhöyüğü_solar_farm
solar,Amasya Boyali solar farm,10.4,operating,2019,40.5147,35.6614,approximate,,https://www.gem.wiki/Amasya_Boyali_solar_farm
solar,Apa solar farm,13.1,operating,2019,37.3756,32.5466,exact,Konya,https://www.gem.wiki/Apa_solar_farm
solar,Arf Odemis Biogaz Uretim Tesisi solar project,5,operating,,38.4237,27.1428,approximate,Izmir,https://www.gem.wiki/Arf_Odemis_Biogaz_Uretim_Tesisi_solar_project
solar,As Koc Biyogaz Tesisi solar project,4.9,operating,,37.9162,40.2364,approximate,Diyarbakir,https://www.gem.wiki/As_Koc_Biyogaz_Tesisi_solar_project
solar,As Koc Kirsehir Hybrid solar project,3.2,operating,,39.3303,34.1266,approximate,Kirsehir,https://www.gem.wiki/As_Koc_Kirsehir_Hybrid_solar_project
solar,As Koc Polatli Hybrid solar project,3.2,operating,,39.9208,32.854,approximate,Ankara,https://www.gem.wiki/As_Koc_Polatli_Hybrid_solar_project
solar,Asagi solar farm,80,operating,2021,38.8345,40.7062,exact,,https://www.gem.wiki/Asagi_solar_farm
solar,Aslan Biyogaz solar project,4.6,operating,,39.9208,32.854,approximate,Ankara,https://www.gem.wiki/Aslan_Biyogaz_solar_project
solar,Astor solar project,9,operating,2016,37.427,38.211,approximate,Yeşil Ova,https://www.gem.wiki/Astor_solar_project
