model,config,description,feature_selection,MAE,RMSE,MAPE,sMAPE,MASE,training_time_seconds
lightgbm,lightgbm_balanced,Balanced LightGBM (recommended),all,428.0106363601247,646.9134983576487,1.0596014199439259,1.063409688618938,0.22421495898513646,7.001724004745483
lightgbm,lightgbm_price_optimized,Optimized for price prediction,price_focused,439.87414348224195,673.5521862628494,1.083672600313581,1.0868888613271142,0.2304297011827283,6.8271238803863525
lightgbm,lightgbm_deep,Deep leaf-wise trees,all,440.82409737328334,678.6132232832049,1.0830437001682016,1.0884256483715664,0.2309273380511224,12.601171016693115
lightgbm,lightgbm_demand_optimized,Optimized for demand patterns,demand_focused,443.0982688814637,683.2456921844675,1.0877703820816413,1.0929194677369287,0.23211867122865304,6.954841136932373
catboost,catboost_deep,Deep trees for complex patterns,all,456.486021060423,726.9605436171257,1.1003981216390075,1.1082459568049028,0.23913189485140174,15.309982061386108
xgboost,xgboost_price_optimized,Handles price spikes better,price_focused,464.4027237742303,726.5333939941892,1.1317379646535215,1.137543612134972,0.24327908892435537,1.2990708351135254
xgboost,xgboost_deep,Deep trees with more estimators,all,472.98380873182725,743.3288663525486,1.1496066985820614,1.15519527113554,0.24777432209934763,1.8162379264831543
catboost,catboost_price_optimized,Optimized for price volatility,price_focused,475.676920838163,759.1422192015812,1.1451249711122513,1.1541030671221202,0.2491851188627168,8.76293683052063
catboost,catboost_light,Fast training with shallow trees,top_50,478.3245115072824,716.2096917811045,1.1797924161433315,1.1849493568965106,0.25057206905239987,1.7006421089172363
catboost,catboost_demand_optimized,Optimized for demand patterns,demand_focused,484.2515366670699,754.4288428342426,1.1746467922191572,1.1815565821129266,0.25367696316065624,1.837158203125
xgboost,xgboost_demand_optimized,Focus on temporal + weather patterns,demand_focused,486.2059783263255,780.5906631022082,1.1762184636918738,1.1837779529711596,0.25470080467122125,1.1548411846160889
catboost,catboost_balanced,Balanced performance and speed (recommended),all,491.3029801446372,780.8382266768178,1.1829538826248096,1.192329681970611,0.25737088797419405,2.6027817726135254
xgboost,xgboost_balanced,Standard XGBoost (recommended),all,503.7660936876425,773.7162762942451,1.2338446144967112,1.2396456671465022,0.263899736218799,0.6752209663391113
xgboost,xgboost_light,"Fast, regularized model",top_50,514.6260262792189,775.5399198291818,1.2702213869355545,1.2768441936555481,0.26958875217716144,0.8229336738586426
lightgbm,lightgbm_light,Fast LightGBM with leaf-wise growth,top_50,529.7909982222009,804.7088780807719,1.3094141602124645,1.316454022569,0.27753297896349194,0.8576600551605225
prophet,prophet_light,"Conservative, low-variance Prophet",prophet_minimal,5039.219988602356,5602.122944986121,12.626347034719739,13.604356340624154,2.639814077215817,15.93740200996399
prophet,prophet_balanced,Standard Prophet (recommended),prophet_standard,11065.270440997041,11841.94167805811,27.762519751394933,32.742502430193,5.796582952205192,23.84101104736328
prophet,prophet_demand_optimized,Prophet for demand with weather focus,prophet_weather,11176.339479461281,11956.934700791751,28.044873947453336,33.13444514471678,5.8547668798654025,27.271909713745117
prophet,prophet_price_optimized,Prophet for price with consumption regressor,prophet_price,11245.38017876195,12069.990843687021,28.170416674583198,33.33017121836062,5.890934106207367,31.791099309921265
prophet,prophet_flexible,Flexible Prophet with strong seasonality,prophet_extended,11554.34711491378,12503.742591312444,28.847277990539194,34.3524321772182,6.052787581406423,37.89660596847534
