model,config,description,feature_selection,MAE,RMSE,MAPE,sMAPE,MASE,training_time_seconds
lightgbm,lightgbm_light,,all,70.29453927538891,91.49654118391243,189.212642946439,15.907736642200845,0.4454758593542277,0.34737491607666016
catboost,catboost_balanced,,all,79.6153498915687,101.1309019506871,210.48428003297857,17.626345349081976,0.504544403823292,0.4442172050476074
catboost,catboost_deep,,all,84.4608182836708,107.2452817533582,249.62517413338924,18.158778016039477,0.5352514718003513,1.1698760986328125
catboost,catboost_price_optimized,,all,84.6383002430738,106.46609277953155,245.61517355305858,18.310845289796507,0.5363762238678651,0.6953518390655518
lightgbm,lightgbm_price_optimized,,all,85.34593116646477,101.09896445075545,188.64883602818892,17.800632918629848,0.5408606759597729,0.8391168117523193
lightgbm,lightgbm_balanced,,all,85.98626825244388,101.92112944235318,187.2057057654705,17.867287864369178,0.5449186684666361,0.652825117111206
lightgbm,lightgbm_deep,,all,86.23580855032336,101.8014835323405,183.55942210700175,17.936805837950505,0.5465000740749134,1.2376670837402344
catboost,catboost_demand_optimized,,all,88.67177802206467,108.71480350157071,223.0361427138937,19.012923990132123,0.5619374836514004,0.4770040512084961
catboost,catboost_light,,all,91.78841780771549,114.89452259801368,232.48824168708651,19.685768858030826,0.5816884885106991,0.2795431613922119
lightgbm,lightgbm_demand_optimized,,all,94.52657137232251,109.08511783248615,160.21423256137427,19.382903860009375,0.5990409219260244,0.7445530891418457
prophet,prophet_light,,all,98.3868707883483,125.19638904086837,299.69324757159666,20.232228851913728,0.6235047027181804,27.009415864944458
prophet,prophet_demand_optimized,,all,259.4316956034634,286.8057279152176,144.39603254086123,36.24722568850423,1.6440901204276066,29.121901035308838
prophet,prophet_balanced,,all,259.9964884743514,287.4468562357517,144.46714668333044,36.296030835945345,1.647669368433348,26.818968057632446
prophet,prophet_price_optimized,,all,261.1323098928726,288.7829345836672,144.81084511450192,36.39105617965537,1.654867381646102,27.745912075042725
prophet,prophet_flexible,,all,262.2013597584868,290.00787547732494,145.2217776034984,36.47993902412941,1.661642245134591,25.984453916549683
