model,config,description,feature_selection,val_sMAPE,val_MASE,test_sMAPE,test_MASE,test_sMAPE_h1,test_sMAPE_h6,test_sMAPE_h24,training_time_seconds
patchtst,patchtst_regularized,PatchTST with strong regularization for robustness,standard_dl,9.673984914856131,0.42127074953224886,10.874725873046822,0.41424791272103434,0.5354138182202735,2.0276746904935914,1.7002921953847672,29.18586254119873
patchtst,patchtst_narrow_deep,Narrow-deep PatchTST with small patches,fourier_heavy,8.974296532122954,0.39442318736650794,11.007694555570334,0.4271453182947866,3.891494735161544,1.539873017899581,7.391206573225424,52.96827936172485
patchtst,patchtst_deep,Deep PatchTST with many transformer layers,all,8.33068254571422,0.3611594673698494,10.888473758118911,0.4277102799334121,3.7536231941252787,3.21917771232323,6.707909302134161,124.78396153450012
patchtst,patchtst_ultra_deep,Maximum capacity PatchTST with deep attention stack,all,8.449852314294597,0.35920874629639893,11.276970594766505,0.43108051950190157,3.0510377085664815,1.9155916229343248,5.251581727062132,950.774955034256
patchtst,patchtst_demand_optimized,PatchTST for demand with seasonal patches,demand_focused_dl,12.73450566282416,0.5420296094603905,11.103539931413506,0.43507880291193946,0.31752350210639313,2.25361097411204,4.515056697291038,21.06556749343872
nhits,nhits_light,Fast N-HiTS with small architecture,fourier_lags_only,13.266265358661236,0.551612576467236,11.519307993117684,0.43740965251329333,1.3707358193692651,2.7134696162610696,5.419208476932391,5.7941367626190186
patchtst,patchtst_wide,Wide PatchTST with large hidden size,standard_dl,7.304406285568932,0.3247886543069922,11.53116483991071,0.45269371511840006,0.5840654725101803,7.630508046091696,13.382054524789424,25.6434805393219
nhits,nhits_deep,Deep N-HiTS with large lookback window,all,8.940990453490283,0.3841839190200211,11.25157163630283,0.45396650166624136,1.6493803006248258,5.285256159455716,8.6361367612571,47.19740891456604
patchtst,patchtst_light,Lightweight PatchTST with small patches,fourier_lags_only,6.391954293413953,0.27749025188952375,11.980084662181959,0.45750168976355604,0.9042979810287421,9.899261308502945,2.0996673984844274,7.062248229980469
nhits,nhits_narrow_deep,Narrow-deep N-HiTS relying on Fourier features,fourier_heavy,9.383714706949924,0.40776077123553006,12.114023998205715,0.4742112220990813,2.2712807469983316,0.6123384292793602,10.510861663525008,29.248883962631226
nhits,nhits_balanced,Balanced N-HiTS (recommended),standard_dl,7.834695706030731,0.33755637004105743,12.189528197680966,0.4778964789968793,1.7896257549426215,8.506461331883324,1.7617524524242054,15.568607807159424
nhits,nhits_wide,Wide N-HiTS with large hidden size,standard_dl,8.086788096288478,0.36302852912785505,11.967727230858339,0.48207878380645797,3.2037554262695354,8.181640826271034,6.889667704928091,22.83780312538147
nhits,nhits_price_optimized,N-HiTS optimized for price volatility,price_focused_dl,8.308960061830453,0.35865065159404613,12.342798626422494,0.48527830366809804,0.18753413593955906,10.92510843799295,6.340642769888115,23.100371837615967
patchtst,patchtst_balanced,Balanced PatchTST (recommended),standard_dl,7.540860358048109,0.33168043188562635,13.336602541707572,0.5070847956196274,3.074737818685077,2.788383542842877,2.1995293653536887,15.6083402633667
patchtst,patchtst_price_optimized,PatchTST for price with adaptive patching,price_focused_dl,6.664205912394465,0.2939234539556089,13.005728054028905,0.5122309974100975,1.7761463279758953,4.753553920415616,10.142744959745288,35.02744221687317
nhits,nhits_demand_optimized,N-HiTS optimized for demand patterns,demand_focused_dl,7.1584595855020305,0.3095633764994468,13.848107505285617,0.5397515989506044,4.293704746686071,7.843542602641615,4.063021258240156,18.538185358047485
tft,tft_wide,Wide TFT with large hidden layers,standard_dl,7.829184699258018,0.3281547557624966,15.21843247268997,0.5744358170170771,0.23561916087599363,5.806528633127837,0.09078103174859942,106.46050310134888
patchtst,patchtst_ultra_light,Ultra-fast PatchTST for quick iterations,fourier_lags_only,4.966443042936203,0.2046919415115238,15.690924204238398,0.6007568765788914,0.40393283905438726,0.04554694691290396,1.5731300774549453,3.252608060836792
nhits,nhits_ultra_light,Ultra-fast N-HiTS for rapid prototyping (< 2 min training),fourier_lags_only,6.259303175559444,0.26379160035221544,15.741789313179524,0.6032611998474134,0.9789369479810751,1.4330670734605306,2.5373255286211087,2.8462140560150146
tft,tft_light,Lightweight TFT for fast training,fourier_lags_only,10.441360734958534,0.4516875999210002,15.479758621572602,0.6050011087784576,2.5209083628714537,5.342718017216047,7.0306209331954115,11.999176025390625
tft,tft_price_optimized,TFT for price with attention on volatility,price_focused_dl,13.260936397015847,0.5525640789804592,16.327658205792222,0.6337498864810165,0.2701081110344076,7.488937610760983,7.308835584482478,127.43040704727173
tft,tft_demand_optimized,TFT for demand with weather attention,demand_focused_dl,7.846565718500637,0.33040251099052065,16.646434291407562,0.6441371547479052,0.3226712520292018,6.771261468160773,3.5604748619120157,56.05480122566223
tft,tft_regularized,TFT with strong regularization and dropout,standard_dl,11.372987204494438,0.48199334010204775,16.761592807801815,0.6515192113240389,0.49749910553350835,4.48370528979686,5.146660896651865,78.05471086502075
tft,tft_balanced,Balanced TFT (recommended),standard_dl,10.603122037101045,0.46080408198559414,16.848214603769595,0.6723345801749661,1.136323143841079,6.761849679037675,15.994800859977499,36.51985311508179
tft,tft_narrow_deep,Narrow-deep TFT with more LSTM layers,fourier_heavy,10.490334522252432,0.45874605334929824,19.543836907262754,0.7884369679006472,0.4555832274654815,3.1511906042050737,4.343300755098236,387.17008447647095
tft,tft_ultra_light,Ultra-fast TFT for rapid experimentation,fourier_lags_only,11.055930543617949,0.4996542527627876,19.8678352236285,0.8132452275931615,2.5850219756818715,1.1762467391567852,3.546306514452756,7.699387311935425
tft,tft_deep,Deep TFT with multi-head attention,all,11.672138798149453,0.5301835878941749,20.458393777117294,0.8519613202754727,0.6638878580795136,0.06953141467351887,0.20338737984878652,428.5859444141388
